feature,importance
"City_Sankarankoil, India",3.679061500252458e-05
"City_Nagari, India",3.67871210396551e-05
"City_Perambalur, India",3.6705857527991624e-05
"City_Kalpi, India",3.66409369272022e-05
"City_Najibabad, India",3.6637021776694965e-05
"City_Osmanabad, India",3.6578922755965274e-05
"City_Latur, India",3.640230705121035e-05
"City_Rath, India",3.635581740011649e-05
"City_Suri, India",3.631791576002709e-05
"City_Balaghat, India",3.629325119183556e-05
"City_Deoghar, India",3.619273951009874e-05
"City_Mahuva, India",3.618875954755717e-05
"City_Yamunanagar, India",3.618238325206491e-05
"City_Cuttack, India",3.615746144875931e-05
"City_Kendrapara, India",3.6069871559285696e-05
"City_Thuraiyur, India",3.59263060130314e-05
"City_Rajapalayam, India",3.585032452497618e-05
"City_Thane, India",3.5822693612422174e-05
"City_Chittur-Thathamangalam, India",3.549377522691412e-05
"City_Sullurpeta, India",3.548255596032279e-05
"City_Saharanpur, India",3.545936434868461e-05
"City_Palanpur, India",3.531122723656589e-05
"City_Nagarkurnool, India",3.5154580991367953e-05
"City_Shujalpur, India",3.5151222482189894e-05
"City_Porsa, India",3.5047540259542126e-05
"City_Safidon, India",3.504419863439723e-05
"City_Phusro, India",3.5030217152524635e-05
"City_Santipur, India",3.480637257378189e-05
"City_Godhra, India",3.461482958878861e-05
"City_Mira-Bhayandar, India",3.44428395709793e-05
"City_Lanka, India",3.440332770755825e-05
"City_Shahjahanpur, India",3.4243986639606784e-05
"City_Chirala, India",3.421902314037992e-05
"City_Rawatsar, India",3.4112511784434386e-05
"City_Ichalkaranji, India",3.3979850715262444e-05
"City_Vedaranyam, India",3.391374534796486e-05
"City_Palladam, India",3.3803392266520984e-05
"City_Guwahati, India",3.360946053774949e-05
"City_Yawal, India",3.3517959077134237e-05
"City_Tuensang, India",3.340718672848449e-05
"City_Charkhi Dadri, India",3.320160698665686e-05
"City_Chilakaluripet, India",3.3186638352026414e-05
"City_Palitana, India",3.305519319100937e-05
"City_Virudhachalam, India",3.2952172583476216e-05
"City_Alappuzha, India",3.293864972101791e-05
"City_Nashik, India",3.263455963915381e-05
"City_Vadnagar, India",3.248524163347507e-05
